Emojis,description,Emotion
👏 🏾,clapping_hands_medium-dark_skin_tone,Happy
👏 🏼,clapping_hands_medium-light_skin_tone,Happy
👏 🏽,clapping_hands_medium_skin_tone,Happy
👨 ‍ ❤ ️ ‍ 👨,couple_with_heart_man_man,Happy
👩 ‍ ❤ ️ ‍ 👨,couple_with_heart_woman_man,Happy
👩 ‍ ❤ ️ ‍ 👩,couple_with_heart_woman_woman,Happy
🤤,drooling_face,Happy
😘,face_blowing_a_kiss,Happy
😋,face_savouring_delicious_food,Happy
😛,face_with_stuck-out_tongue,Happy
😝,face_with_stuck-out_tongue_&_closed_eyes,Happy
😜,face_with_stuck-out_tongue_&_winking_eye,Happy
😂,face_with_tears_of_joy,Happy
💪,flexed_biceps,Happy
💪 🏿,flexed_biceps_dark_skin_tone,Happy
💪 🏻,flexed_biceps_light_skin_tone,Happy
💪 🏾,flexed_biceps_medium-dark_skin_tone,Happy
💪 🏼,flexed_biceps_medium-light_skin_tone,Happy
💪 🏽,flexed_biceps_medium_skin_tone,Happy
🙏,folded_hands,Happy
🙏 🏿,folded_hands_dark_skin_tone,Happy
🙏 🏻,folded_hands_light_skin_tone,Happy
🙏 🏾,folded_hands_medium-dark_skin_tone,Happy
🙏 🏼,folded_hands_medium-light_skin_tone,Happy
🙏 🏽,folded_hands_medium_skin_tone,Happy
🌝,full_moon_with_face,Happy
😀,grinning_face,Happy
😁,grinning_face_with_smiling_eyes,Happy
💗,growing_heart,Happy
🤝,handshake,Happy
💟,heart_decoration,Happy
♥,heart_suit,Happy
💘,heart_with_arrow,Happy
💝,heart_with_ribbon,Happy
✔,heavy_check_mark,Happy
🌺,hibiscus,Happy
🤗,hugging_face,Happy
💏,kiss,Happy
👨 ‍ ❤ ️ ‍ 💋 ‍ 👨,kiss_man_man,Happy
💋,kiss_mark,Happy
👩 ‍ ❤ ️ ‍ 💋 ‍ 👨,kiss_woman_man,Happy
👩 ‍ ❤ ️ ‍ 💋 ‍ 👩,kiss_woman_woman,Happy
😽,kissing_cat_face_with_closed_eyes,Happy
😗,kissing_face,Happy
😚,kissing_face_with_closed_eyes,Happy
😙,kissing_face_with_smiling_eyes,Happy
🕺,man_dancing,Happy
🕺 🏿,man_dancing_dark_skin_tone,Happy
🕺 🏻,man_dancing_light_skin_tone,Happy
🕺 🏾,man_dancing_medium-dark_skin_tone,Happy
🕺 🏼,man_dancing_medium-light_skin_tone,Happy
🕺 🏽,man_dancing_medium_skin_tone,Happy
💁 ‍ ♂ ️,man_tipping_hand,Happy
💁 🏿 ‍ ♂ ️,man_tipping_hand_dark_skin_tone,Happy
💁 🏻 ‍ ♂ ️,man_tipping_hand_light_skin_tone,Happy
💁 🏾 ‍ ♂ ️,man_tipping_hand_medium-dark_skin_tone,Happy
💁 🏼 ‍ ♂ ️,man_tipping_hand_medium-light_skin_tone,Happy
💁 🏽 ‍ ♂ ️,man_tipping_hand_medium_skin_tone,Happy
🤓,nerd_face,Happy
👐,open_hands,Happy
👐 🏿,open_hands_dark_skin_tone,Happy
👐 🏻,open_hands_light_skin_tone,Happy
👐 🏾,open_hands_medium-dark_skin_tone,Happy
👐 🏼,open_hands_medium-light_skin_tone,Happy
👐 🏽,open_hands_medium_skin_tone,Happy
🙌,raising_hands,Happy
🙌 🏿,raising_hands_dark_skin_tone,Happy
🙌 🏻,raising_hands_light_skin_tone,Happy
🙌 🏾,raising_hands_medium-dark_skin_tone,Happy
🙌 🏼,raising_hands_medium-light_skin_tone,Happy
🙌 🏽,raising_hands_medium_skin_tone,Happy
😌,relieved_face,Happy
🤣,rolling_on_the_floor_laughing,Happy
🤘,sign_of_the_horns,Happy
🤘 🏿,sign_of_the_horns_dark_skin_tone,Happy
🤘 🏻,sign_of_the_horns_light_skin_tone,Happy
🤘 🏾,sign_of_the_horns_medium-dark_skin_tone,Happy
🤘 🏼,sign_of_the_horns_medium-light_skin_tone,Happy
🤘 🏽,sign_of_the_horns_medium_skin_tone,Happy
😴,sleeping_face,Happy
🙂,slightly_smiling_face,Happy
😇,smiling_face_with_halo,Happy
😍,smiling_face_with_heart-eyes,Happy
😃,smiling_face_with_open_mouth,Happy
😆,smiling_face_with_open_mouth_&_closed_eyes,Happy
😅,smiling_face_with_open_mouth_&_cold_sweat,Happy
😄,smiling_face_with_open_mouth_&_smiling_eyes,Happy
😊,smiling_face_with_smiling_eyes,Happy
😎,smiling_face_with_sunglasses,Happy
👍,thumbs_up,Happy
👍 🏿,thumbs_up_dark_skin_tone,Happy
👍 🏻,thumbs_up_light_skin_tone,Happy
👍 🏾,thumbs_up_medium-dark_skin_tone,Happy
👍 🏼,thumbs_up_medium-light_skin_tone,Happy
👍 🏽,thumbs_up_medium_skin_tone,Happy
💕,two_hearts,Happy
✌,victory_hand,Happy
✌ 🏿,victory_hand_dark_skin_tone,Happy
✌ 🏻,victory_hand_light_skin_tone,Happy
✌ 🏾,victory_hand_medium-dark_skin_tone,Happy
✌ 🏼,victory_hand_medium-light_skin_tone,Happy
✌ 🏽,victory_hand_medium_skin_tone,Happy
🖖,vulcan_salute,Happy
🖖 🏿,vulcan_salute_dark_skin_tone,Happy
🖖 🏻,vulcan_salute_light_skin_tone,Happy
🖖 🏾,vulcan_salute_medium-dark_skin_tone,Happy
🖖 🏼,vulcan_salute_medium-light_skin_tone,Happy
🖖 🏽,vulcan_salute_medium_skin_tone,Happy
👋,waving_hand,Happy
👋 🏿,waving_hand_dark_skin_tone,Happy
👋 🏻,waving_hand_light_skin_tone,Happy
👋 🏾,waving_hand_medium-dark_skin_tone,Happy
👋 🏼,waving_hand_medium-light_skin_tone,Happy
👋 🏽,waving_hand_medium_skin_tone,Happy
😉,winking_face,Happy
💃,woman_dancing,Happy
💃 🏿,woman_dancing_dark_skin_tone,Happy
💃 🏻,woman_dancing_light_skin_tone,Happy
💃 🏾,woman_dancing_medium-dark_skin_tone,Happy
💃 🏼,woman_dancing_medium-light_skin_tone,Happy
💃 🏽,woman_dancing_medium_skin_tone,Happy
💛,yellow_heart,Happy
🤙,call_me_hand,Happy
🤙 🏿,call_me_hand_dark_skin_tone,Happy
🤙 🏻,call_me_hand_light_skin_tone,Happy
🤙 🏾,call_me_hand_medium-dark_skin_tone,Happy
🤙 🏼,call_me_hand_medium-light_skin_tone,Happy
🤙 🏽,call_me_hand_medium_skin_tone,Happy
👏,clapping_hands,Happy
👏 🏿,clapping_hands_dark_skin_tone,Happy
👏 🏻,clapping_hands_light_skin_tone,Happy
💓,beating_heart,Happy
😥,disappointed_but_relieved_face,Sad
😞,disappointed_face,Sad
😓,face_with_cold_sweat,Sad
🤕,face_with_head-bandage,Sad
😷,face_with_medical_mask,Sad
🤒,face_with_thermometer,Sad
😶,face_without_mouth,Sad
☹,frowning_face,Sad
😦,frowning_face_with_open_mouth,Sad
