bothered,Fear
down,Sad
nervous,Sad
doubt,Fear
a slow burn,Angry
aback,Surprise
abandon,Fear
abandon,Sad
abandoned,Sad
abdabs,Fear
"Abelard, Peter",Sad
abhor,Fear
abhorrence,Angry
abhorrent,Angry
abject,Sad
abjection,Sad
ablaze,Angry
abominably,Angry
abominate,Angry
abomination,Sad
abruptly,Surprise
abruptness,Surprise
absent,Sad
absolute,Fear
absolution,Happy
absolved,Happy
absorb,Surprise
absorbed,Surprise
absotively,Fear
abused,Sad
acarophobia,Fear
acater,Sad
acceptable,Happy
accepted,Happy
accha,Surprise
accustomed,Sad
acerbity,Fear
acetonate,Fear
ache,Sad
aching,Sad
acknowledged,Happy
acquiescence,Fear
acquitted,Happy
acridness,Fear
acrimonious,Angry
acrimony,Angry
acrobatic,Surprise
acrophobe,Fear
acrophobia,Fear
actually,Surprise
actuarial,Fear
actuary,Fear
adamant,Sad
add,Sad
addicted,Happy
Addisonian crisis,Surprise
adenomyoma,Fear
adenosis,Fear
adept,Happy
adequate,Fear
adhere,Fear
adjoint,Fear
admirable,Happy
admirably,Happy
admiration,Surprise
admirative,Surprise
admired,Happy
admission,Sad
adorable,Happy
adorable,Happy
adorably,Happy
adoration,Happy
adore,Happy
adored,Happy
adoring,Happy
adrad,Fear
adrenal,Fear
adrenaline,Angry
advance-guard,Surprise
advantage,Happy
advantageous,Happy
advantages,Happy
adventure,Happy
adventurer,Happy
adventuresome,Happy
adverse,Fear
adzooks,Surprise
aerated,Sad
aerophobe,Fear
aerophobia,Fear
aerophobic,Fear
aerospike,Surprise
aesthetic,Happy
afear,Fear
afeard,Fear
afeared,Fear
affair,Surprise
affect,Sad
affected,Surprise
affected,Sad
affected,Sad
affecting,Sad
affection,Happy
affectional,Happy
affectionate,Happy
affectionate,Happy
affectionateness,Happy
affret,Fear
affricate,Fear
affright,Surprise
affrightment,Fear
affronted,Happy
aflame,Angry
afleyed,Fear
afollowgy,Sad
afraid,Fear
afraid,Fear
afraid,Sad
afraidness,Fear
afterclap,Surprise
aftershock,Surprise
against,Sad
agape,Surprise
age,Angry
agglutinophore,Fear
aggrav,Angry
aggravate,Sad
aggress,Angry
aggressive growth fund,Fear
aggressiveness,Angry
aggriev,Sad
aggrieve,Sad
aggrieved,Sad
aghast,Surprise
aghasted,Surprise
aghasting,Surprise
agitation,Sad
agitative,Angry
agitator,Sad
agnostic,Fear
agonized,Sad
agonized,Fear
agonizing,Fear
agony,Sad
agoraphobia,Fear
agree,Happy
agrise,Fear
ah,Surprise
aha,Surprise
Ahab,Sad
aheap,Fear
ahem,Fear
ai,Surprise
ail,Sad
ailing,Fear
ailurophobia,Fear
ailurophobic,Fear
air blast,Surprise
air cushion,Surprise
air rage,Angry
air spring,Surprise
airy,Happy
airy,Fear
aiyo,Sad
alack,Sad
alarm,Surprise
alarmed,Fear
alarmed,Fear
alarming,Fear
alarmingly,Fear
alarmist,Fear
"Albee, Edward Franklin",Fear
alfieri,Sad
algarade,Surprise
algid,Surprise
algidity,Surprise
algophobia,Fear
alien,Fear
alienated,Sad
alkaloid,Fear
Alka-Seltzer,Sad
alleged,Fear
alleleu,Surprise
allemagtig,Surprise
alone,Sad
alone,Sad
altercate,Angry
altercation,Angry
altered,Surprise
altogether,Sad
amass,Surprise
amative,Happy
amatori,Happy
amatory,Happy
amaze,Surprise
amaze,Surprise
amazeballs,Surprise
amazement,Surprise
amazing,Surprise
ambiguity,Fear
ambiguously,Fear
ambivalence,Sad
ambivalent,Sad
ambivalent,Sad
ambuscade,Surprise
ambush,Surprise
amelioration,Fear
Americanophobia,Fear
amiable,Happy
amic,Happy
amicability,Happy
amicableness,Happy
amicably,Happy
ammine,Fear
amnesia,Surprise
amnesiac,Surprise
amoeba,Fear
amok,Angry
amor,Happy
amorous,Happy
amorousness,Happy
amort,Sad
amphibole,Fear
amplitude,Fear
amputate,Fear
amuck,Angry
amused,Happy
anabolism,Fear
analyse,Fear
anaphylactic,Surprise
anaphylaxis,Surprise
anarchy,Fear
angel shark,Sad
anger,Angry
angering,Angry
angerless,Angry
angers,Angry
angler,Sad
angrily,Angry
angriness,Angry
angry,Angry
angry,Angry
angsty,Sad
anguish,Sad
anguished,Sad
animadvert,Fear
animated,Happy
annoy,Sad
annoyed,Angry
annoyed,Sad
annoying,Angry
annual,Sad
anodyne,Sad
another example,Surprise
antacid,Sad
antagon,Angry
antagonistic,Sad
ante,Fear
antecedent,Sad
anterograde,Surprise
antipathy,Angry
antsy,Sad
anxiety,Fear
anxiety,Sad
anxiety disorder,Fear
anxiety-ridden,Fear
anxious,Surprise
anxious,Sad
anxiously,Fear
apathetic,Angry
apathy,Sad
apatite,Fear
aphasic,Surprise
aphonic,Surprise
aphorism,Fear
aplomb,Happy
apocalypse,Fear
apodictic,Fear
apologetic,Sad
apologies,Sad
apologise,Sad
apologize,Sad
apology,Sad
apology,Sad
apoplectic,Sad
apoplexy,Surprise
aporia,Fear
apotheosis,Surprise
appal,Surprise
appalled,Angry
appalled,Surprise
appallment,Fear
apparatus,Fear
appealing,Happy
appease,Angry
appeased,Happy
appeasement,Angry
appetite,Sad
appointed,Happy
appointment,Happy
apposite,Happy
appreciate,Happy
appreciated,Happy
appreciated,Happy
apprehend,Fear
apprehensive,Fear
apprehensive,Sad
apprehensively,Fear
apprehensiveness,Fear
approbative,Happy
approbatori,Happy
approbatory,Happy
appropriate,Happy
appropriately,Happy
approval,Happy
approve,Happy
approve,Happy
approved,Happy
approved of,Happy
approving,Happy
apraxia,Fear
apron strings,Fear
aquaphobia,Fear
aquaphobic,Fear
aquation,Fear
aquo,Fear
arabesque,Fear
arachnophobia,Fear
arc,Fear
archaic,Happy
arched,Surprise
architectonica,Sad
ardent,Fear
ardor,Happy
ardour,Happy
areole,Sad
argufy,Fear
argument,Fear
arhat,Angry
arithmetic,Fear
arms,Angry
aromatase,Fear
aromatherapy,Fear
aroused,Fear
arrah,Surprise
arras,Fear
arrogant,Happy
arson,Fear
arthrostome,Fear
articulate,Surprise
asbestosis,Fear
ascared,Fear
ascertain,Fear
ascot,Fear
aseismic,Surprise
ashamed,Sad
ashen,Surprise
askance,Fear
asleep,Angry
asperity,Angry
asphyxia,Surprise
assail,Sad
assassin,Surprise
assassinate,Surprise
assassination,Surprise
assembly,Fear
assent,Happy
assert,Fear
assion,Angry
association,Happy
associative,Happy
assuasive,Fear
assurance,Fear
assure,Happy
assured,Sad
assuredly,Happy
astone,Surprise
astonied,Surprise
astonish,Surprise
astonished,Surprise
astonished,Surprise
astonishing,Surprise
astonishment,Surprise
astony,Surprise
astound,Surprise
astounded,Surprise
astounding,Surprise
astoundingly,Surprise
astoundment,Surprise
astronomical clock,Fear
astrophobia,Fear
asymmetrical warfare,Surprise
at (one's) ease,Fear
at ease,Happy
at this time of night,Surprise
ataraxia,Fear
atavistic,Fear
ate,Fear
atheroma,Fear
atone,Sad
atonement,Sad
atrabilious,Sad
atred,Angry
at-risk,Fear
atroci,Fear
atrocious,Fear
atrocity,Angry
attach,Happy
attached,Happy
attachment,Happy
attacked,Fear
attenuate,Fear
attracted,Happy
attractive,Happy
attractive nuisance,Fear
attrit,Sad
attrite,Fear
audacious,Fear
audacious,Fear
audaciously,Fear
audacity,Fear
aue,Surprise
aunt,Surprise
auspicious,Happy
authority,Fear
automatic pilot,Surprise
autophobia,Fear
autophoby,Fear
autosave,Fear
avail,Fear
avant-garde,Surprise
avaricious,Angry
average,Fear
averse,Sad
aversion therapy,Surprise
avid,Surprise
avidness,Happy
avoidant disorder,Fear
avoided,Sad
aw,Surprise
await,Surprise
awaken,Happy
aware,Sad
awe,Surprise
awed,Surprise
awed,Fear
aweful,Surprise
awesome,Surprise
awestricken,Surprise
awe-struck,Happy
awful,Sad
awhape,Surprise
awkward,Sad
awkward,Fear
awless,Fear
ay,Sad
B complex,Fear
B vitamin,Fear
backward,Sad
bad,Sad
bad,Sad
bad boy,Surprise
bad feelings,Angry
bad karma,Sad
bad luck,Sad
bad mannered,Sad
bad_blood,Angry
bad_temp,Angry
bad_temper,Angry
badger,Fear
badly,Sad
bad-tempered,Angry
baffled,Angry
baffled,Sad
bah,Angry
baking soda,Sad
baleful,Sad
balk,Angry
balked,Angry
ballast,Fear
ballistic,Sad
bally,Angry
ban,Sad
bananas,Angry
banausic,Sad
bandit,Fear
bane,Fear
banish,Sad
bank,Fear
banter,Happy
bantering,Fear
barbaric,Angry
barbarism,Angry
barbarity,Angry
barbican,Fear
bardie,Surprise
baroque,Fear
barrack,Happy
base,Sad
basement complex,Fear
bash,Fear
bashful,Sad
bashful,Fear
bashfully,Fear
basically,Fear
bastard,Sad
batrachoididae,Sad
bats,Surprise
batter,Sad
battered child syndrome,Fear
batting,Surprise
battle fatigue,Surprise
be angry,Sad
be bother,Sad
be cut up,Sad
be down in the mouth,Sad
be frighten,Sad
be in a funk,Sad
be in a mood,Sad
be in bad,Angry
be in for a shock,Surprise
be out of sorts,Sad
be shoot,Sad
be tough on,Fear
be_on_cloud_nin,Happy
be_on_cloud_nine,Happy
beaming,Happy
bean,Surprise
bear,Sad
bear up,Sad
beard,Angry
beat,Surprise
beaten,Surprise
beaten down,Sad
beatific,Happy
beaut,Surprise
beautiful,Happy
beauty,Happy
beaver,Fear
bebop,Fear
becharm,Fear
bedad,Surprise
bedeck,Surprise
beeline,Fear
befitting,Happy
beg,Sad
begad,Surprise
beggar,Sad
begorra,Surprise
begrudge,Happy
begrudging,Happy
beguile,Angry
beguile,Angry
beguiled,Angry
beholden,Fear
belittled,Sad
belliger,Angry
bellow,Angry
belong,Happy
belonging,Happy
belonging,Happy
bemused,Sad
bend,Angry
benedicite,Surprise
benef,Happy
benefic,Happy
beneficed,Happy
beneficence,Happy
beneficent,Happy
benefici,Happy
beneficial,Happy
beneficially,Happy
benefit,Happy
benefit,Happy
benevol,Happy
benevolence,Happy
benevolent,Happy
benevolently,Happy
bent,Sad
benumbed,Surprise
bereave,Sad
bereave,Sad
bereaved,Sad
bereavement,Sad
berko,Angry
Bernhardt,Sad
beside,Angry
beside yourself,Sad
besiege,Fear
besorrow,Sad
besot,Surprise
bespeak,Surprise
best,Surprise
best,Happy
bet,Fear
bet the farm/ranch,Fear
betrayed,Angry
better,Surprise
better,Happy
bewail,Sad
bewild,Surprise
bewilder,Surprise
bewildered,Surprise
bewilderment,Surprise
bewitching,Happy
beyond,Fear
beyond a shadow of a doubt,Fear
beyond question,Fear
bialy,Sad
bile,Angry
bilious,Sad
bingo,Surprise
bioburden,Fear
biohazard,Fear
biologic,Fear
BIOS,Fear
bioterror,Fear
bipolar disorder,Sad
bird,Angry
birse,Angry
biting,Fear
bitten,Fear
bitter,Angry
bitter,Sad
bitter pit,Sad
bittersweet,Sad
bivouac,Surprise
blab,Surprise
blabber,Surprise
black bearberry,Sad
black humour,Sad
black look,Angry
black mood,Sad
black sheep,Surprise
blackly,Sad
bland,Sad
blankly,Surprise
blasted,Angry
blatant,Fear
blazing,Angry
bleak,Sad
bleeder,Sad
blench,Fear
bless,Happy
bless my soul,Surprise
bless my soul!,Surprise
blessed,Surprise
blessed,Happy
blessedness,Sad
blessing,Surprise
blessing,Happy
blessings,Happy
blest,Surprise
blighter,Sad
blimey,Surprise
blinding,Surprise
blindly,Sad
blindside,Surprise
blinking,Angry
blip,Surprise
bliss,Happy
blissful,Happy
blister figure,Sad
blith,Happy
blithe,Happy
blithe; buoyant,Happy
blithely,Happy
blitheness,Happy
blithesome,Happy
blitzkrieg,Surprise
blizzard,Fear
block,Sad
blockbusting,Happy
blocked,Sad
blood vessel,Sad
bloodbath,Sad
bloodcurdling,Fear
blood-curdling,Fear
bloodthirstiness,Angry
bloody hell,Angry
bloody well,Angry
blossoming,Happy
blot,Sad
blotter,Surprise
blow,Surprise
blow it,Angry
blow sb away,Surprise
blow someone's mind,Surprise
blow up,Angry
blowback,Angry
blowhard,Surprise
blue,Sad
Blue,Surprise
blue_devil,Sad
blue_devils,Sad
blues,Sad
bluesy,Sad
bluish,Sad
blunt,Sad
bo,Surprise
bode,Fear
boding,Fear
bogey,Fear
bogeyman,Fear
bogle,Fear
boil over,Angry
boiling,Angry
boiling,Sad
boiling point,Angry
boilover,Surprise
bold,Fear
bold,Fear
boldness,Fear
bollix,Sad
bollocks,Angry
bolt from the blue,Surprise
bolter,Sad
bombing raid,Surprise
bombshell,Surprise
bombshell,Surprise
bond,Fear
bond rating,Fear
bone,Fear
bone–chilling,Fear
bonheur,Happy
bonny,Happy
boo,Surprise
booby trap,Surprise
boom,Surprise
boorish,Surprise
bore,Sad
bored,Sad
bored,Sad
bored stiff,Sad
bork,Fear
borosilicate glass,Surprise
bother,Angry
bothered,Fear
bothersome,Angry
bottle out,Fear
bouldering,Fear
bouleversement,Sad
bouncing putty,Surprise
bout,Sad
bow shock,Surprise
bow wave,Surprise
bowl,Surprise
bowl sb over,Surprise
brace,Surprise
bracket,Surprise
braid,Fear
brainish,Fear
brain-teaser,Fear
brainwave,Surprise
brand,Sad
brandish,Angry
brannerite,Fear
brass,Fear
brassed off,Sad
brave,Fear
brave,Fear
bravery,Fear
bravo,Surprise
break,Sad
break,Surprise
breakaway,Fear
breastbeating,Sad
breath,Surprise
breathe,Fear
breathless,Fear
breathtaker,Surprise
breathtakingly,Surprise
breeze,Fear
brevirostrine,Fear
Brexitophobia,Fear
bridle,Angry
bright,Happy
brightly,Happy
brightness,Happy
brilliant,Happy
brinkmanship,Fear
brisk,Happy
bristling,Angry
bristly,Angry
brittle,Sad
broach,Sad
broaden,Fear
broil,Fear
broke,Sad
broken,Sad
broken-hearted,Sad
brokenheartedness,Sad
brokenly,Sad
bromide,Sad
brooding,Sad
brother,Surprise
brotherhood,Happy
brotherlike,Happy
brotherlike,Happy
brotherly,Happy
brow,Sad
browbeaten,Fear
bruiser,Fear
brunt,Surprise
brush,Surprise
brutal,Angry
brutality,Angry
brutishness,Angry
bruxism,Angry
buccaneer,Fear
buccaneering,Fear
Buck,Fear
buckle,Fear
buffer,Surprise
buffer state,Surprise
buffet,Surprise
Bug,Fear
bug,Fear
bugbear,Fear
bulb,Sad
bullbeggar,Fear
bullied,Fear
bullshit,Fear
bully,Fear
bulwark,Fear
bum,Sad
bumble,Fear
bummed,Sad
bummed out,Sad
bump,Surprise
bumper,Surprise
bumps,Fear
bundle,Fear
bungee,Surprise
bungee cord,Surprise
bunsen burner,Fear
buoyant,Happy
burbage,Sad
burden,Fear
burdened,Sad
burdensome,Fear
burly,Surprise
burning,Angry
burnt,Angry
Burton,Fear
bushwhack,Surprise
businessman's risk,Fear
buskin,Sad
buskined,Sad
bust,Surprise
butthurt,Sad
buyer's remorse,Sad
buzz,Surprise
by far,Fear
by gum,Surprise
by gum!,Surprise
by jingo,Surprise
by jingo!,Surprise
by Jove,Surprise
Byzantine,Fear
cadaver,Surprise
caddle,Angry
cagy,Surprise
Cahora Bassa,Fear
calamitous,Sad
calculated,Fear
calenture,Fear
calf_lov,Happy
calf_love,Happy
call into doubt,Fear
call something into (or in) question,Fear
callous,Angry
callousness,Angry
calm,Happy
calm,Surprise
calmness,Happy
camisado,Surprise
camoused,Sad
camoys,Sad
camphorsulfonic acid,Surprise
can,Surprise
cane,Fear
cannon fodder,Fear
can't believe,Surprise
can't complain,Happy
cantankerous,Angry
capable,Fear
capillarity,Sad
capricious,Happy
